Substance(s) active(s),P.Comm,Société,Fabricant
Manèbe,Mankey,ETS. MEZGHANI,INDUST. QUIMICA KEY
Manèbe,Trimangol,STEC,CEREXAGRI BV
Manèbe,Ridanèbe,SEPCM,CEREXAGRI/UPL
Bacillus thuringiensis,BELTHIRUL,AGRIPROTEC,PROBLETE
Beauveria bassiana strain R444,Bb-Protec WP,ALOHA Agriculture,Plant Health Products (phy)/Sud d'afrique/Andermatt PHP(Pty) Ltd/ANDERMATT BIOCONTROL GROUP AG
Beauveria bassiana strain ATCC 74040,Naturalis SC,COTUGRAIN,CBC europe
Chlorantraniliprole +Thiamethoxam,DURIVO,SOLAGRI,SYNGENTA
Chlorantraniliprole,ALTACOR 35 WG,AGRIPROTEC,FMC
Cyantraniliprole +Acibenzolar-S-methyl,PLESIVA ALPHA SC,BIOPROTECTION,SYNGENTA
Borax,Orotun,RAYEN,Non spécifié
Cuivre,Siscop 60 SC,SEPCM,AAKO BV
Cuivre Métal,AIRONE,AGRIMATCO,ISAGRO/distribute par frarimpex GOWAN CROP
Cuivre Métal,Comac,AGRIPROTEC,NUFARM
Cuivre Métal,OSSICLOR 50 PB MANICA,ATLAS AGRICOLE,MANICA Spa
Difenoconazole+propiconazole,NANJI PLUS EC,STEC,JIANGYIN FENGDENG CROP SCIENCE CO (Fabriquant)/NANJING Arochemical (distributeur)/chine
Difenoconazole +Cyflufenamid,CIDELY TOP 140 DC,AGRIPROTEC,SYNGENTA
Difenoconazole +Cyflufenamid,MELCAR TOP 140 DC,COTUGRAIN IMPEX,SYNGENTA
Difenoconazole +Métalaxyl-M,SpectroExtreme 115 FS,BIOPROTECTION,SYNGENTA
Dodine,Efluzin 400 SC,SEPCM,ARYSTA Life Science Benelux / Belgique/ARYSTA
Epoxiconazole,Rubric,AGROSYSTEMES,Cheminova
Manèbe,PLANTINEB 80WP,SANABEL AGRO,UPL
Prothioconazole +Tebuconazole,Perfecto EC,SHARDA CROPCHEM tunisie,Sharda Cropchem inde
Pythium oligandrum 1*106oospores( 10-25% w/w) de polyversum,POLYVERSUM,FERTIPLANT,BIOPREPARATY
Sulfate tetracuivrique tricalcique,Bordocure WG,FERTITECH,ALINTRA
Tebuconazole,COLOSSALSous réserve de changement de DC,HALAB TUNISIE,AVGUST CROP CORPORATION
Bentazone,Basagran,STIMA,BASF
Bentazone,BENTAPROTEKT SL,LIEN AGRICOLE,ANHUI
Tribenuron-Methyl,Corida 75 WG,SOCOOPEC,AGRIA
Tribenuron-Methyl,TRIBUNEO 75 G,SSCC,AGRIA
Trebuniron-methyl + Florasulame,FLAME DUO SG,SOLAGRI,ALBAUGH
Captane,MITANE,SOCOOPEC,SHARDA
Captane,PROTHANE,DELTA AGRICOLE PLUS,SHARDA
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE
Captane,Akotan 830 WP,SEPCM,ARYSTA LIFESCIENCE
CUIVRE METAL,COBRE NORDOX,COTUGRAIN,NORDOX INDUSTRIER A/S
Cuivre(oxychlorure de cuivre 605 g/kg),RAMCU 35 WG,STIMA,Manica S.P.A
Cuivre,Champ Flo,INNOVA,NUFARM
Sulphate de cuivre tribasique,CU MAX,RAYEN PHYTAGRI,DIACHEM S.P.A
Sulfate de cuivre tribasique,Novicure,PROTAGRI,UPL
Sulfate de cuivre tribasique + Zoxamide,Amaline Flow,EL MOUSSEM AGRICOLE,NUFARM
Epoxiconazole + Dimoxystrobine,Swing Gold,STIMA,BASF
Epoxiconazole + Metconazole,OSIRIS,AGRIPROTEC,BASF
Fludioxonil + Sedaxane,VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA
Flutriafol,Impact S,AGRIPROTEC,CHEMINOVA
Mandipropamide,Revus 250 SC,EL MOUSSEM AGRICOLE,SYNGENTA
Tébuconazole + Prothioconazole,Tilmor 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE
Bentazone,TROY 480 SL,AGRIPROTEC,UPL LIMITED
CS,CETUS,Non spécifié,Non spécifié
Clodinafop-propagyl +Cloquintocet-mexyl,BUGUIS EC,AGRIPROTEC,PROPLAN
Propoxycarbazon Sodium,Attribut 70 SG,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Azoxystrobine +Cyproconazole,COUGAR SC,PROTAGRI,UPL LIMITED
Azoxystrobine +Cyproconazole,DOUBLE FORCE,SANABEL AGRO,SHARDA
Azoxystrobine +Difenoconazole,ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL
Fosetyl aluminium,CLEANER WP,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
Fostetyl –aluminium,STIN 80 WP,PLANETE VERTE,ASTRANOVA
Fosetyl –al,lotus,SANABEL AGRO,NUFARM
Fosethyl-al +sulfate de cuivre tribasique,Optix R WG,BIOPROTECTION,UPL
Metirame de zinc,Polyram DF,STIMA,BASF
Metirame de zinc,LUTIRAM WG,AGRIPROTEC,BASF
Metrafenone,VIVANDO,AGRIPROTEC,BASF / SBM FORMULATION
sulfate de cuivre tribasique,MEXIRAM TRI HI BIO WG,EL MOUSSEM AGRICOLE,ALBAUGH EUROPE SARL
Tébuconazole,Camaro430SC,RAYEN PHYTAGRI,SHARDA CROPCHEM LIMITED INDE
Fluroxypyr,keynyl herbicide EC,etsmezghani,industrialquimicakey
Fluroxypyr (ester1-methylheptyl),Flurostar 200,AGROSYSTEMES,GLOBACHEM
Fluroxypyr +Clopyralid,VEGA EC,AGRIMED DISTRIBUTION,Non spécifié
Abamectine,ZORO,SSCC,CHEMINOVA/ FMC
Abamectine,ACTROSE 18 EC,Ets MEZGHANI,ASTRACHEM
Abamectine,TINA EC,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Abamectine,MECTINE PRO,JADWA AGROTEC,AAKO BV
Abamectine,Potenza 1.8,SANABEL AGRO,SINON CORPORATION
Abamectine,Aakomectine,STEC,AAKO BV
Beauveria bassiana strain ATCC 74040,Naturalis,COTUGRAIN,CBC europe/italie
Chlorantraniliprole +Lambda-cyhalothrine,POLYVALENT SC,Sté El Khadra,"EASTCHEM CO,Ltd CHINE"
Chlorantraniliprole +methoxyfenozide,ABSOLUT SC,STEC,NANJING AGROCHEMICAL CHINE
Chromafénozide,Matric,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
CINNAMALDHEYDE,SEICAN EC,ATLAS AGRICOLE,SEIPASA S.A
Clofentezine,Apollo 50,STEC,AAKO BV
Cyantraniliprole,VERIMARK SC,SEPCM,FMC
Cyantraniliprole,Preza OD,Agriprotec,DU PONT/FMC
Cyflumetofen,VELAR 20 SC,cotugrain,OAT agrio(fab)/Japo(LI
Cypermethrine,CYTHRINE 10 EC,AGRIPROTEC,ARYSTA LIFESCIENCE/IP L
Cypermethrine,CYPRINE,TASMID,CROPSAVE PESTICIDES INDIAN PVT.LTD
Cypermethrine,CYPERNOVA,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE /UPL
Deltaméthrine,Decis EC 25,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Deltaméthrine,Fruithrine,PROTAGRI,United Phosphorus Ltd
Manipropamide +Oxychlorure de cuivre,REVUS C,BIOPROTECTION,SYNGENTA
Metaflumizone,VERSIMO 240 SC,AGRIPROTEC,BASF
Métam sodium,Fumical,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
metarhiziumrileyi strain,Nomu-Protec,ALOHA,ANDERMATT PHP (Pty) AFRIQUE DE SUD
Methoxyfenozide,Runner,PROMOCHIMIE,DOW AGROSCIENCES/ corteva
Natural Pyrethrin,PULSEI EC,COTUGRAIN,SPEISA SA ESPAGNE
Phosphure de Magnésium +Phosphure d'Hy.,Magnaphos,PROTAGRI,UNITED PHOSPHORUS LTD
Phosphure de Magnésium +Phosphure d'Hy.,Deguech plate,STIMA,DETIA DEGUECH
Pyradaben,RHAMSES 20 WP,PLANETE VERTE,ASTRANOVA
Pyréthrine,ABANTO 40 EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Pyrethrines,KRISANT EC,PROMOCHIMIE,SIPCAM INGRA ESPAGNE
Pyrethrins,PIRECRIS,ATLAS AGRICOLE,Seipasas.A
Pyrethrins,Piretro Verde,STIMA,COPYR S.p.A
Pyridabène,NEXTER 10 SC,AGRIPROTEC,NISSAN CHEMICAL CORPORATION/ BASF
Tolfenpyrade,HACHI-HACHI EC,EL KHADRA,SIPCAM INAGRA
Azoxystrobine,Azox SC,Ets MEZGHANNI,"JIANGYIN SULI CHEMICAL CO.LTDi,Q,Key"
Azoxystrobine +Cyproconazole,DOUBLE FORCE,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE
Bacillus amyloliquefaciens souche FZB24:,Taegro,COTUGRAIN,Novozymesbiologicalsinc/ syngenta
captane,KAPI-TOP 48 EC,Agrinova,SHARDA CROPCHEM LIMITED INDE
Cuivre Métal,COPSIP,AGRIPROTEC,SIPCAM INAGRA
Cymoxanil +Famoxadone,Equation Pro,SEPCM,DU PONT (Taiwan) AGRISCIENCE/CORTEV A
Dimetomorphe +Folpel,MORPHEE 71.3 WG,BIOPROTECTION,AAKO
Fluoxastrobine,EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE
Fluoxastrobine + Propamocarb hydrochloride,EVITO P,EL MOUSSEM,ARYSTA LIFESCIENCE/ UPL
Fosethyl-Al +Cymoxanil + Folpel,BELKAP EXTRA,AGROSYSTEMES,PROBELTE
Fosethyl-Al +Cymoxanil + Folpel,Anteor flash,ATLAS AGRICOLE,BAYER AG
Fosetyl –al,ALU-VITE WP,TASMID,LIMIN CHEMICAL CO.LTD
Fosetyl –al,ALLUM WG,EL MOUSSEM AGRICOLE,NUFARM
Fosetyl-Al,KEYFOL 80 WP,Ets MEZGHANI,LIMIN CHEMICAL CO.LTD
Krésoxim-méthyl,ARIANE WG,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE/CHINE
Mefentrifluconazole,REVYSTAR EC,AGRIMATCO,BASF
Mefentrifluconazole + Pyraclostrobin,REVYCARE EC,AGRIPROTEC,BASF
Mefentrifluconazole+Fluxapyroxade,REVYTREX EC,BIOPROTECTION,BASF
Oxychlorure de cuivre,VALTOSAN WP,FERTITECH,ALINTRA-ESPAGNE
Oxychlorure de Cuivre,Agrocuivre,AGROSYSTEMES,SPEISS
Oxychlorure de cuivre +cymoxanil,Curame 25 WG,ATLAS AGRICOLE,Manica SPA
Prothioconazole,PROTEZOLE EC,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE
Prothioconazole,Mirage EC,SHARDA CROPCHEM LIMITED tunisie,SHARDA CROPCHEM LIMITED INDE
Prothioconazole +Tebuconazole,PROTECT PLUS EC,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE
Soufre,Heliosoufre S,BIOPROTECTION,Action Pin/AAKO
Soufre,SULFOMAX,EL KHARDA,AFEPASA
Soufre,Micro-cap,NEGANOR,AGROW ALLIED
Soufre,SULFINOVA 80WDG,AGRINOVA,AGROW ALLIED
Sulfate de cuivre tribasique + Cymoxanil,Moltovin,BIOPROTECTION,NUFARM
Sulfate de cuivre tribasique + Zoxamide,ventaro,STEC,NUFARM
Tébuconazole,TEBUNOVA SC,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Tébuconazole,SUPREME 25 EW,COTUGRAIN Impex,UPL LIMITED
Tébuconazole +Trifloxystrobine,GREEN STAR,AGRIPROTEC,BAYER CROPSCIENCE
Bentazone,BENTA SL,EL KHADRA,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD/NANGIN G FENGSHAN"
Bentazone,BASASTAR SL,AGRIPLUS,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD"
Bentazone,fighter,cotugrain,BASF
Bentazone,RAINZONE EC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
Bentazone,BENHUR SL,PROTAGRI,NANJING AGROCHEMICAL
Clethodim,FYTODIM EC,Non spécifié,Non spécifié
Diflufenican + Flufenacet + Flurtamone,Vigon 420 SC,PROMOCHIMIE,BAYER CROPSCIENCE
Florosulame + Flumetsulam,Derby,promochimie,DOW AGROSCIENCES/ corteva
Fluazifop-P-Butyl,Benfuron,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE
Fluazifop-P-Butyl,Fouir,EL KHADRA,SHARDA CROPCHEM LIMITED INDE
Fluazifop-P-Butyl,Trivko,SOLAGRI,SYNGENTA
Flucarbazone-sodium,Everest 70 WG,AGRIPROTEC,ARYSTA LIFESCIENCE
Flumetsulam,BROADSTRIKE WG,PROMOCHIMIE,DOW AGROSCIENCE
Glyphosate,Glycel,AGRIMATCO,excel crop care/Sumitomo chemical
Tribenuron methyl + Florasulam,TRIFLOS,NEGANOR FFT,JSC(AVGUST)
Tribenuron-Methyl,TOSCANA,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU
Tribenuron-Methyl,Volteo 75 WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL
Tribenuron-Methyl,LUXOR,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE
"Acetate d'ammonium + TrimethylamineHCl +1,4- diaminobutane (Putrescine) +DDVP",MERCERATITE KEY,Ets MEZGHANI,Key
Acétate d'ammonium min 8.75 g/sachet +Trimethylaminehydrochloride 1.25 g/sachet + diaminubutane 0.04 g/sachet +KILLDISC insecticide à base d'Esfenvalerate 0.04 g/piége,PherosanCeratitis,NUTRIPLANT,SANSAN PRODESING/
Acide chloro 4 phénoxyacétique +Naphoxy 2acétamide,Procarpil,SEPCM,CMPA
Acide gibberellique,Gibb 3,AGROSYSTEMES,GLOBACHEM
Acide gibberellique,Aminogibb,AMINCO,GLOBACHEM
Acide gibberellique,progibb 40 SG,BIOPROTECTION,VALENTBioscience / SUMITOMO
Acide gibberellique,Giberkey,ETS MEZGHANNI,IndustrialQuimica Key
Acide gibberellique,Protagibb,PROTAGRI,United Phosphorus
Acide gibberellique,Berelex 40 SG,SEPCM,CHEMICAL Agro Europe
Kinetin,X-CYTE SL,NUTRIPLANT,STOLLER EUROPE
Keromone 42.5 ml acetate d'ethyle,Weevil magnet (keromone),BIOPROTECTION,Chemtica international
Hydrolysat de Protéines+Borax,Ceratrap (en bouteilles ou/et en pièges jaunes),BIOPROTECTION,BIOEBERICA S.A
Metaldehyde,ALDEM 3% GR,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE
Metaldehyde,METAX,DELTA AGRICOLE PLUS,SHARDA CROPCHEM LIMITED INDE
Metaldehyde,LIMAGRAM,EL KHADRA,SIPCAM INAGRA
Proteines hydrolysées,BIOBAIT,BIOPROTECTION,BIOIBIRICA
Proteines hydrolysées,FLYRAL,AGRIPROTEC,BIOIBIRICA
Fluazaindolzine,SALIBRO 500 SC,AGRIPROTEC,CORTEVA
"(E,Z,Z)-3,8 ,11-Tetradecadien -1-yl acetate( 53.8 mg/diffuseur) (E,Z)-3,8 –Tetradecad ien -1-yl acetate(6.2 mg/diffuseur)",SHIN –ETSU MD T,COTUGRAIN,Shin ETSU chemical/ CBC (EUROPE)
Lambda cyhalothrin,power WDG,fertitech,Sharda
Pyriproxyfene,MULIGAN,AGRIPROTEC,PROPLAN
Pyriproxyfene,PROXIMO EC,EL KHADRA,Indsutrias
Azoxystrobine,HYDO 250 SC,STEC,nanjing agrochemical/JIANGYIN SULI CHEMICAL
Cymoxanil+ Zoxamid,REBOOT WG,AGRIMATCO,GOWAN CROP PROTECTION LIMITED
Cyproconazole,Atemi 10 WG,AGRIPROTEC,SYNGENTA CROP PROTECTION
Difenoconazole,Festival 250 EC,SANABEL AGRO,Sharda World Wide
Difenoconazole,SITARA FS,SANABEL AGRO,SHARDA CROPCHEM
Fosetyl-Al,KEYFOL 80 WP,Ets MEZGHANI,LIMIN CHEMICAL
Soufre,Thiopron SC,BIOPROTECTION,UPL
Fluroxypyr +Clopyralid,VEGA EC,AGRIMED DISTRIBUTION,Sharda cropchem
Tribenuron methyl + Florasulam,BOMBA WG,EL KHADRA,JSC(AVGUST)
Tribenuron-Methyl,TOSCANA,AGRIPROTEC,PROPLAN
Cyanamide d’hydrogène,Dormex,BIOPROTECTION,DEGUSSA AG/ ARYSTA LifeScience/ALZ-CHEM
Bacillus thuringiensis,BELTHIRUL 16SC,AGRIPROTEC,PROBLETE
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE
Azoxystrobin + Flutriafol,CURAX EXTRA SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
Azoxystrobin + Flutriafol,CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM
Azoxystrobine +Difenoconazole,Ortiva TOP,SLOGRI,SYNGENTA
Iprodione,SABUESO,AGRIPROTEC,PROPLAN
Iprodione,RovralAquaflo,COTUGRAIN IMPEX,FMC
Iprodione,APRODONE,LIEN AGRICOLE,SHARDA
Iprodione,CLUSTER,RAYEN PHYTAGRI,DIACHEM S.P.A
Iprodione,SINPRO SC,SANABEL AGRO,SINON
Manipropamide +zoxamid,Ampexio WG,BIOPROTECTION,SYNGENTA
Oxathiapiprolin +famoxadone,Zorvec encantia SE,EL BARAKA,CORTEVA
Promocarb +Cymoxanil,proxanil 450 SC,BIOPROTECTION,arysta lifescience
Promocarb +Cymoxanil,OMIX DUO 450 SC,NEGANOR,Agria
Propamocarbe + Fluopicolide,Volare,EL MOUSSEM AGRICOLE,BAYER AG
Propamocarbe +Fenamidone,Consento 450,ATLAS AGRICOLE,BAYER CROPSCIENCE/ Gowan Crop Protection
Propamocarbe +Fosethyl-Al,Filex Energy,ATLAS AGRICOLE,BAYER CROPSCIENCE
Propamocarbe +Fosethyl-Al,Previcur Energy,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Pyraclostrobine + Dimotomorphe,Cabrio Duo,AGRIPROTEC,BASF
Pyraclostrobine +Epoxiconazole,Favia Max,COTUGRAIN IMPEX,BASF
Thiophanate-Méthyl,CAP-TOP,NEGANOR,NANJIG(JIANGSU LANFENG BIOCHEMICAL(fabricant))
Thiophanate-methyl,TIOKEY WP,Ets MEZGHANI,HAILI GUIXI CHEMICAL
Quizalofop –p-ethyl,JAGUAR 100 EC,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL"
Quizalofop –p-ethyl,SYMBA EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD"
Cyproconazole + Azoxystrobin,Priori Xtra,SOLAGRI,SYNGENTA
Epoxiconazole + Kresoxim methyl,Ogam,STIMA,BASF-ESPAGNOLA
Famoxadone + Mancozebe,Clip,AGRIMATCO,DU PONT INTERNATIONAL
Fenamidone + Fosethyl-Al,Verita,STEC,BAYER CROPSCIENCE
Pencycuron,Monceren,PROMOCHIMIE,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,Kestrel 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole +Bixafen,SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG
Prothioconazole + Tebuconazole + Spiroxamine,Cello,AGRONOMIC Land,Non spécifié
Aminopyralydes + Florasulam + 2.4 D EHE,Nikos forte,ATLAS AGRICOLE,Non spécifié
Amidosulfuron + Iodosulfuron + Mefempyr Diethyl,Sekator OD,Non spécifié,Non spécifié
Aminopyralydes + Florasulam,Lancelot 450 WG,Non spécifié,Non spécifié
Arylex active (halauxifen-methyl) + Pyroxsulam + Cloquintocet acide,TARZEK WG,Non spécifié,Non spécifié
Clodinafop-propagyl +Cloquintocet-mexyl,Navigator,BIOPROTECTION,SYNGENTA
Acetamiprid,POtegon 20 SP,PLANETE VERTE,ASTRANOVA
Alphacypermethrine,REMAX EC,FERTITECH,SHARDA CROPCHEM
Chlorantraniliprole,Coragen 20 SC,SEPCM,DU PONT/FMC
Cypermethrine,SYNCHRO,EL KHADRA,SHARDA WORLDWIDE
Cypermethrine,SINOCYPER,EL KHADRA,CROPSAVE PESTICIDES INDIAN PVT.LTD
Captane,CAPLANT EC,FERTIPLANT,Sharda Cropchem Limited
captane,KAPI-TOP 48 EC,Agrinova,SHARDA CROPCHEM
Fluopyram + Trifloxystrobine,Luna sensation,ATLAS AGRICOLE,BAYER CROPSCIENCE
Fluoxastrobine,EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE/UPL
Fluoxastrobine + Tebuconazole,Evito T,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE/UPL
Fluoxastrobine + Propamocarbhydrochloride,EVITO P,EL MOUSSEM,ARYSTA LIFESCIENCE/ UPL
Laminarin,VACCIPLANT,EL MOUSSEM,GOEMAR SAS/ARYSTA/UPL
Mandipropamide,amphore SC,SOLAGRI,SYNGENTA
Myclobutanil,FLUANCE 125 EC,EL MOUSSEM AGRICOLE,Indofil Industries Limited/ARISTEAS Agro
Pyraclostrobine +Tebuconazole,PILARTEP SC,RAYEN PHYTAGRI,PILARQUIIM (jiangsu) CO.LTD CHINE
Spiroxamine +difeconazole,SPIROX D EC,BIOPROTECTION,arystalifescience/UPL
Sulfate de cuivre tribasique,TRIBASE -FLOW SC,Atlas Agricole,NUFARM
Sulfate de cuivre tribasique,Cuproxat,EL MOUSSEM AGRICOLE,NUFARM
sulfatetetracuivrique tricalcique)+ cymoxanil,CUPERTINE SUPER WP,FERTITECH,ALINTRA ESPAGNE
Trichodermaatroviride 77B,T-77 WP,Aloha agriculture,Plant Health Products (phy)/Sud d'afriquePlant Health Products (phy)
Zirame,Thionicautodispers ible,AGROSYSTEMES,TAMINCO/EASTMAN
Fluroxypyr,keynyl herbicide EC,etsmezghani,industrialquimicak ey
Fluazaindolzine,SALIBRO 500 SC,BARAKA Agricole,CORTEVA
Metaflumizone,VERSIMO 240 SC,AGRIPROTEC,BASF
Métam sodium,Fumical,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Azoxystrobin + Flutriafol,CURAX EXTRA SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
Azoxystrobin + Flutriafol,CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM
Chlorothalonil +Propiconazole +Cyproconazole,"Cherokee 487,5 SE",SOLAGRI,SYNGENTA
Chlorothalonil +Metalaxyl –M,ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA
Difenoconazole +Cyflufenamid,DYNALI DC,SOLAGRI,SYNGENTA
Difenoconazole + Fludioxonil,DIFEND EXTRA FS,AGROSYSTEMES,Globachem
Difenoconazole + Fludioxonil,Celest Extra 50 FS,BIOPROTECTION,SYNGENTA
Difenoconazole + Fludioxonil +Thiamethoxam,CelestTop 312.5,BIOPROTECTION,SYNGENTA
Difenoconazole+propiconazole,NANJI PLUS EC,STEC,JIANGYIN FENGDENG CROP SCIENCE CO (Fabriquant)/NANJING Arochemical (distributeur)/chine
Difenoconazole + Fludioxonil +Sedexane,Vibrance Gold,BIOPROTECTION,SYNGENTA
Difenoconazole +Cyflufenamid,CIDELY TOP 140 DC,AGRIPROTEC,SYNGENTA
Difenoconazole +Cyflufenamid,MELCAR TOP 140 DC,COTUGRAIN IMPEX,SYNGENTA
Difenoconazole +Métalaxyl-M,SpectroExtreme 115 FS,BIOPROTECTION,SYNGENTA
Difenoconazole +Métalaxyl-M,DIVIDEND EXTREME 115 FS,SOLAGRI,SYNGENTA
Difenoconazole + Metalaxyl –M + Thiamethoxam,APRON STAR WS,COTUGRAIN,SYNGENTA
Diméthomorphe +Fluazinam,FOLY STAR 400 SC,SEPCM,AAKO
Dimethomorphe +Mancozèbe,Acrobat MZ WG,COTUGRAIN IMPEX,BASF
Dimetomorphe +Folpel,MORPHEE 71.3 WG,BIOPROTECTION,AAKO
Dimetomorphe +Folpel,DENIM,RAYEN PHYTAGRI,Sharda cropchem
Dimetomorphe +Folpel,FLOPY DUO,AGRINOVA,Sharda cropchem
Dinocap Meptyl + Myclobutanil,AGRIKAR STAR,ATLAS AGRICOLE,DOW AGROSCIENCES
Dinocap Meptyl + Myclobutanil,SABITHANE GOLD,PROMOCHIMIE,DOW AGROSCIENCES
Dithianon,DELAN 500 SC,BIOPROTECTION,BASF
Epoxiconazole + Fenpropimorph,EPIC TOP SE,COTUGRAIN,BASF
Epoxiconazole + Kresoxim-methyl,ALLEGRO,AGRIMATCO,BASF
Epoxiconazole + Kresoxim-methyl,Ogam,STIMA,BASF
Epoxiconazole + Thiophanate-methyl,Rex Duo,STIMA,BASF
Epoxiconazole + Thiophanate-methyl,DUETT ULTRA EC,AGRIPROTEC,BASF
Epoxiconazole+Fluxapyroxad(xemium),ADEXAR XTRA EC,STIMA,BASF
Famoxadone + Mancozebe,Clip,AGRIMATCO,DU PONT INTERNATIONAL/corteva
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide,"
Fludioxonil +Cyprodinil,"switch 62,5 WG",BIOPROTECTION,SYNGENTA
Fludioxonil +Cyprodinil,Chorus Double,BIOPROTECTION,SYNGENTA
Fluopyram + Tebuconazole,Luna Experience 400 SC,SEPCM,BAYER CROPSCIENCE
Fluopyram + Trifloxystrobine,Luna Sensation,ATLAS AGRICOLE,BAYER CROPSCIENCE
Fluoxastrobine,EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE
Flutriafol,Radikal SC,AGRIMED DISTRIBUTION,SHARDA
Flutriafol,Flutri 125 SC,RAYEN PHYTAGRI,SHARDA
Flutriafol +Thiabendazole,Vincit F,AGRIPROTEC,CHEMINOVA/FMC
Flutriafol + Tébuconazole,Pointer Duo,AGROSYSTEMES,CHEMINOVA/FMC
Fluxapyroxad + Pyraclostrobine,PRIAXOR SE,COTUGRAIN IMPEX,BASF
Folpel +Benalaxyl +cymoxanil,CIFOXIL WP,promochimie,SIPCAM INAGRA
Folpel +Benalaxyl +cymoxanil,FOBECI,INNOVA,SIPCAM INAGRA
Folpet+ Foséthyl-Al,Mikal Flash,SEPCM,BAYER CROPSCIENCE
Fosethyl al + Folpel + Iprovalicarbe,CASSIOPEE WG,PROMOCHIMIE,BAYER AG
Foséthyl-Al,Filal,EL KHADRA,AFRASA
Foséthyl-Al,Alial,AGRIPROTEC,PROPLAN
Foséthyl-Al,Aliette express,SEPCM,BAYER CROPSCIENCE
Fosetyl aluminium,CLEANER WP,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
Fosethyl-Al +Cymoxanil +Folpet,Fosbel extra,AGRIPROTEC,PROBELTE
Fosethyl-Al +Cymoxanil +Folpet,Magma Triple,EL KHADRA,AFRASA
Fosethyl-Al +Cymoxanil +Folpet,Katanga Triple WP,NEGANOR,PROPLAN
Imidacloprid+Tebuconazole,GIZMO SUPER FS,AGRIPROTEC,NUFARM
Iprodione,FUGIX SC,EL KHADRA,SIPCAM INAGRA
Iprodione,Icaro,INNOVA,SIPCAM INAGRA
Mefentrifluconazole +Fluxapyroxade,VERYDOR,COTUGRAIN,BASF
Metalaxyl-M +fludioxinil + sedaxane,VIBRANCE MAXX FS,BIOPROTECTION,SYNGENTA
Metirame de zinc,Polyram DF,STIMA,BASF
Oxathiapiprolin +zoxamide,ZorvecVinabel SE,ATLAS AGRICOLE,CORTEVA
Oxychlorure de cuivre,Valtonex flow SC,NEGANOR,IQV
Oxychlorure de cuivre + Mancozèbe,AFROSAN DUPLO,EL KHADRA,AFRASA
Prochloraze +Triticonazole,REAL SUPER,AGRIPROTEC,BASF
Propiconazole +Cyproconazole,Alto super,BIOPROTECTION,SYNGENTA
Propiconazole +Tebuconazole,Colossal Pro,EL KHADRA,AUGUST CROPROTECTION
