Produit_Commercial,Société,Fabricant
Atlantis OD,ATLAS AGRICOLE,BAYER
BREAK THRU SL,ATLAS AGRICOLE,EVONIC
BREAK THRU SL,ATLAS AGRICOLE,nan
Benfuron,ATLAS AGRICOLE,SHARDA
Biopower SL,ATLAS AGRICOLE,BAYER AG
Broadway,ATLAS AGRICOLE,DOW AGROSCIENCES
CLORTOSIP 500 SC,ATLAS AGRICOLE,SIPCAM INAGRA
CORAG DUO SC,ATLAS AGRICOLE,NANJING(HEBEI
Consento 450,ATLAS AGRICOLE,BAYER CROPSCIENCE
Consento 450,ATLAS AGRICOLE,BAYER
Curame 25 WG,ATLAS AGRICOLE,Manica SPA
DELARO DUO SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Decis Expert,ATLAS AGRICOLE,BAYER CROPSCIENCE
EPIDOR,ATLAS AGRICOLE,SYNGENTA / DOW AGROSCIENCES EXPORTS
EPIDOR,ATLAS AGRICOLE,SYNGENTA / DOW
EXAQ EC,ATLAS AGRICOLE,DOW AGROSCIENCES
Energyc M,ATLAS AGRICOLE,BAYER CROPSCIENCE
FAME 480 SC,ATLAS AGRICOLE,BAYER
FENFEN EC,ATLAS AGRICOLE,LAINCO
FLEXIDOR,ATLAS AGRICOLE,Dow Agrosciences
FLEXIDOR,ATLAS AGRICOLE,Dow
Filex Energy,ATLAS AGRICOLE,BAYER
Filex Energy,ATLAS AGRICOLE,BAYER CROPSCIENCE
Fungisei SL,ATLAS AGRICOLE,SEIPASA S A/
GENERAL SR/Changement Nom COMMercial,ATLAS AGRICOLE,GHARDA HOUSE INDE
LAOTTA,ATLAS AGRICOLE,LAINCO
LASER 240 SC,ATLAS AGRICOLE,DOW
LASER 240 SC,ATLAS AGRICOLE,DOW AGROSCIENCE/c orteva agriscience
LASER 240 SC,ATLAS AGRICOLE,DOW AGROSCIENCE/c ortevaagriscience
LORGARD,ATLAS AGRICOLE,GHARDA
LORGARD,ATLAS AGRICOLE,GHARDA CHEMICALS/arist eas
Lorvek 480 EC,ATLAS AGRICOLE,DOW AGROSCIENCES
Lorvek 5 G,ATLAS AGRICOLE,Dow Agroscience
Luna Previlege,ATLAS AGRICOLE,BAYER CROPSCIENCE
Luna Sensation,ATLAS AGRICOLE,BAYER CROPSCIENCE
Luna Sensation,ATLAS AGRICOLE,BAYER
Luna sensation,ATLAS AGRICOLE,BAYER CROPSCIENCE
Mesurol 200 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Mesurol 50 WP,ATLAS AGRICOLE,BAYER CROPSCIENCE
Moon Experience SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Movento 150 OD,ATLAS AGRICOLE,BAYER CROPSCIENCE
Nikos 306 SE,ATLAS AGRICOLE,DOW
Nikos 306 SE,ATLAS AGRICOLE,nan
Nikos 306 SE,ATLAS AGRICOLE,DOW AGROSCIENCES/ corteva
Nikos forte,ATLAS AGRICOLE,DOW AGROSCIENCES
Nikos forte,ATLAS AGRICOLE,DOW
Nikos forte,ATLAS AGRICOLE,DOW AGROSCIENCE S/CORTEVA
Nikos forte,ATLAS AGRICOLE,DOW AGROSCIENCES/ CORTEVA
OLYMPUS FLEX,ATLAS AGRICOLE,BAYER AG
OLYMPUS FLEX WG,ATLAS AGRICOLE,BAYER AG
OSSICLOR 50 PB,ATLAS AGRICOLE,MANICA Spa
OSSICLOR 50 PB MANICA,ATLAS AGRICOLE,MANICA Spa
Oberon 240 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Orytis,ATLAS AGRICOLE,CHEMINOVA
P R I O R I T Y,ATLAS AGRICOLE,DOW AGROSCIENCES
P e l t 500 SC,ATLAS AGRICOLE,BAYER AG.
P r o f i l e r,ATLAS AGRICOLE,BAYER AG
PIRECRIS,ATLAS AGRICOLE,Seipasa S.A
PIRECRIS,ATLAS AGRICOLE,SeipasaS.A
POLTIGLIA 20,ATLAS AGRICOLE,MANICA S.P.A
POLTIGLIA 20 PB,ATLAS AGRICOLE,MANICA S.P.A
PRIORITY,ATLAS AGRICOLE,DOW
PRIORITY,ATLAS AGRICOLE,DOW AGROSCIENCE S/corteva
PRIORITY,ATLAS AGRICOLE,DOW AGROSCIENCES/ corteva
Pelt 500 SC,ATLAS AGRICOLE,BAYER AG.
Positron 49,ATLAS AGRICOLE,BAYER CROPSCIENCE
Positron 49,ATLAS AGRICOLE,BAYER
Profiler,ATLAS AGRICOLE,BAYER AG
Profilux,ATLAS AGRICOLE,BELCHIM CROP PROTECTION
Profilux,ATLAS AGRICOLE,BELCHIM CROP
Prosper 500 EC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Prosper 500 EC,ATLAS AGRICOLE,BAYER
R o u n d u p P l u s,ATLAS AGRICOLE,MONSANTO
R o u n d u p P l u s,ATLAS AGRICOLE,MONSANTO/BAYER
R o u n d u p P l u s,ATLAS AGRICOLE,MONSANTO/BA YER
R o u n d u p P lu s,ATLAS AGRICOLE,nan
RALLY,ATLAS AGRICOLE,DOW AGROSCIENCES
Radiant 120 SC,ATLAS AGRICOLE,DOW AGROSCIENCE
Round Up Pro,ATLAS AGRICOLE,MONSANTO
Round Up Pro,ATLAS AGRICOLE,MONSANTO/BAYER
Round Up Pro,ATLAS AGRICOLE,nan
Round Up Pro,ATLAS AGRICOLE,MONSANTO/BA YER
Round up innov,ATLAS AGRICOLE,MONSANTO
S EICAN EC,ATLAS AGRICOLE,S EIPASA S.A
S c a l a 300 SC,ATLAS AGRICOLE,BAYER
S p e c t o r 70 WG,ATLAS AGRICOLE,BAYER CROPSCIENCE
SEICAN EC,ATLAS AGRICOLE,SEIPASA S.A
SIVANTO PRIME 200,ATLAS AGRICOLE,Bayer A.G
SIVANTO PRIME 200 SL,ATLAS AGRICOLE,Bayer A.G
SKIPPER 120 EC,ATLAS AGRICOLE,AAKO
SONG EC,ATLAS AGRICOLE,SIPCAM INAGRA
STINGER,ATLAS AGRICOLE,DU PONT
STINGER SC,ATLAS AGRICOLE,DU PONT INTERNATIONAL
Sabero M 45,ATLAS AGRICOLE,COROMANDEL Ltd.
Sanaphen D 720 SL,ATLAS AGRICOLE,DOW
Sanaphen D 720 SL,ATLAS AGRICOLE,DOW AGROSCIENCES
Scala 300 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Solfol,ATLAS AGRICOLE,BELCHIM CROP PROTECTION
Solfol,ATLAS AGRICOLE,BELCHIM CROP
Soligor 425,ATLAS AGRICOLE,BAYER CROPSCIENCE
Spintor,ATLAS AGRICOLE,DOW
Spintor,ATLAS AGRICOLE,nan
Spintor,ATLAS AGRICOLE,DOW AGROSCIENCE
Spintor,ATLAS AGRICOLE,DOW AGROSCIENCE/ CORTEVA
T r i f l e x,ATLAS AGRICOLE,AAKO
TARZEK +,ATLAS AGRICOLE,Dow Agrosciences
TARZEK + UPTAKE SL (Ecosurf EH-9 Surfactant 73 %(p/p)),ATLAS AGRICOLE,Dow Agrosciences
TARZEK WG (Utilisation en mélange avec UPTAKE SL (Ecosurf EH-9 Surfactant 73 %(p/p)),ATLAS AGRICOLE,Dow Agrosciences
TIMOREX GOLD E C,ATLAS AGRICOLE,SIPCAM INAGRA
TIOSOL 80,ATLAS AGRICOLE,SIPCAM
TREBON EC,ATLAS AGRICOLE,SIPCAM INAGRA S.S
TRECATOL,ATLAS AGRICOLE,FMC
TWIST SUPER EC,ATLAS AGRICOLE,SHARDA
Tacco 100 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
U PHOLD SC,ATLAS AGRICOLE,CORTIVA
UPHOLD SC,ATLAS AGRICOLE,CORTIVA
VELUM PRIME 400,ATLAS AGRICOLE,BAYER AG
VELUM PRIME 400 SC,ATLAS AGRICOLE,BAYER AG
VERSATILL,ATLAS AGRICOLE,DOW
VERSATILL,ATLAS AGRICOLE,DOW AGROSCIENCE /corteva
VERSATILL,ATLAS AGRICOLE,DOW AGROSCIENCE/c orteva
VERSATILL EC,ATLAS AGRICOLE,DOW AGROSCIENCE
VOLCAN EC,ATLAS AGRICOLE,SPICAM INAGRA SA
Zato 50 WG,ATLAS AGRICOLE,BAYER CROPSCIENCE
ZorvecVinabel SE,ATLAS AGRICOLE,CORTEVA
a z i m u t S C,ATLAS AGRICOLE,NUFARM
Filex Energy Previcur Energy,ATLAS AGRICOLE EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE BAYER CROPSCIENCE
S cala 300 SC Mythos300 SC,ATLAS AGRICOLE EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
HERBOXONE SL,ATLAS INDUSTRIE,NUFARM
O v i p h y t,ATLAS INDUSTRIE,COMPTOIR COMMERCIAL DES LUBRIFIANTS
Oviphyt,ATLAS INDUSTRIE,COMPTOIR COMMERCIAL DES LUBRIFIANTS/S ANGOSSE
Robust 480 EC,ATLAS INDUSTRIE,COROMANDEL
TRISTAR SL SR/Changement de nom,ATLAS INDUSTRIE,NUFARM
KAPI-TOP 48 EC,Agrinova,SHARDA
KAPI-TOP 48 EC,Agrinova,SHARDA CROPCHEM
COMET PLUS EC,Agriprotec,BASF
Kenja SC,Agriprotec,ISK Biosciences
Kenja SC,Agriprotec,ISK Biosciences Europe N.V(fabricant)/upl(fourniss eur)
Preza OD,Agriprotec,DU PONT/FMC
T E B U ZOL 25 EW,Agriprotec,UPL LIMITED
TEBUZOL 25 EW,Agriprotec,UPL LIMITED
T-77 WP,Aloha agriculture,nan
T-77 WP,Aloha agriculture,Plant Health Products (phy)/Sud d'afriquePlant Health Products (phy)
TRI-BASE FLOW SC,Atlas Agricole,NUFARM
TRIBASE -FLOW SC,Atlas Agricole,NUFARM
PROSPER 300 CS,Atlas agricole,BAYER
PROSPER 300 CS,Atlas agricole,BAYER CROPSCIENCE
nan,B I O P R O T E C T I O,S Y N G E N T A
ELESTAL300 SC,B I O P R O T E C T I O N,S Y N G E N T A
K l e e n U p,B I O P R O T E C T I O N,N U F A R M
N u p r i d,B I O P R O T E C T I O N,NUFARM
nan,B I O P R O T E C T I O N,S Y N G E N T A
K a l a c h 3 6 0 Herbolex Clinic Fortin Glyphotec Cible Glyster Agriatech Maynozate Glycel Glyphogan Glitan Buggy GLISO 360 Mamba 360 SL Glyweed Diss,B I O P R O T E C T I O N SEPCM EL MOUSSEMAGRI. ETS MEZGHANI STEC AGRIPROTEC SANABEL AGRO AGROSYSTEMES AMINCO AGRIMATCO SOCOOPEC COTUGRAIN IMPEX INNOVA EL KHADRA INNOVA ATLAS INDUSTRIE PROTAGRI,A R Y S T A L I F E S CIENCE DOW AGROSCIENCES NUFARM INDUSTRLQUIMICAKEY AAKO BV NUFARM SINON CORPORATION AGRIA SA AGRIA SA EXCEL CROP CARE AAKO ALCOTAN SIPCAM INGARA SIPCAM INGARA DOW AGROSCIENCES COROMANDEL Ltd. UNITED PHOSPHORUS
T o p a z e 1 0 0,B I O P R O T E C T ION,SYNGENTA
T o p a z e 1 0 0,B I O P R O TECTION,SYNGENTA
T o p a z e 1 0 0 Buckler Topenco 100 EC,B I OPROTECTION AMINCO AGROSYSTEMES,SYNGENTA GLOBACHEM GLOBACHEM
SALIBRO 500 SC,BARAKA Agricole,CORTEVA
Select Super,BIOPRO,U P L / A R Y S T A
Select Super,BIOPRO TECTION,U P L / A R Y S T A LIFESCIENCE
Alliance,BIOPROTECTIO,NUFARM S.A
Axial pratic,BIOPROTECTIO,Syngenta
Maestro 75 WG,BIOPROTECTIO,AAKO
Uniform,BIOPROTECTIO,SYNGENTA
Weedone,BIOPROTECTIO,NUFARM
Weedone Plus,BIOPROTECTIO,NUFARM
Dialen Super,BIOPROTECTIO N,SYNGENTA
Kalach 360,BIOPROTECTIO N,UPL/ARYSTA LIFESCIENCE
Kalach Extra,BIOPROTECTIO N,ARYSTA LIFESCIENCE
Karal,BIOPROTECTIO N,NUFARM
Navigator,BIOPROTECTIO N,SYNGENTA
SC,BIOPROTECTIO N,UPL
TWIGA,BIOPROTECTIO N,AAKO BV
Traxospratic,BIOPROTECTIO N,Syngenta
UMBRA 590 SC,BIOPROTECTIO N,SYNGENTA
XANADU,BIOPROTECTIO N,UPL limited
AVOXA MAXX OD,BIOPROTECTION,SYNGENTA
Adress,BIOPROTECTION,SYNGENTA
Agrimec Gold 084 SC,BIOPROTECTION,SYNGENTA
Alion 500 SC,BIOPROTECTION,BAYER
Alliance,BIOPROTECTION,NUFARM S.A
Alto super,BIOPROTECTION,SYNGENTA
Ampexio WG,BIOPROTECTION,SYNGENTA
Axial 045 EC,BIOPROTECTION,SYNGENTA
Axial pratic,BIOPROTECTION,Syngenta
B a n k o 720 SC,BIOPROTECTION,UPL/ARYSTA
B i o m a t,BIOPROTECTION,UPL/ARYSTA
BIOBAC,BIOPROTECTION,BION TECH INC/ AAKO
BIOBAC,BIOPROTECTION,BION TECH INC/
BIOBAIT,BIOPROTECTION,BIOIBIRICA
BOSCOTT SC,BIOPROTECTION,ALBAUGH
Banko 720 SC,BIOPROTECTION,ARYSTA LIFESCIENCE
Banko 720 SC,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Bell Extra,BIOPROTECTION,BASF
Borneo 10 SC,BIOPROTECTION,SUMITOMO CHEMICHAL AGRO EUROPE S.A.S
Borneo 10 SC,BIOPROTECTION,SUMITOMO
Borneo 10 SC,BIOPROTECTION,nan
Boxer,BIOPROTECTION,SYNGENTA
C y p e r c a l 2 5 0 E C,BIOPROTECTION,ARYSTA LIFESCIENCE
C y p e r c a l 2 5 0 E C,BIOPROTECTION,UPL/ARYSTA
C y p e r cal 250 EC,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
CAIMAN FLUID SC,BIOPROTECTION,UPL LIMITED
CARIAL TOP,BIOPROTECTION,SYNGENTA
CERATAVO E RA,BIOPROTECTION,SYNGENTA
CERATAVO ERA,BIOPROTECTION,SYNGENTA
COMITE 240 SC,BIOPROTECTION,CHEMTURA/ARYSTA
COMITE 240 SC,BIOPROTECTION,CHEMTURA/AR YSTA
Caiman 80 WP,BIOPROTECTION,UPL/ARYSTA
Calin Flo,BIOPROTECTION,Arysta Lifescience
CalinFlo,BIOPROTECTION,ArystaLifescience
Carial Opti,BIOPROTECTION,SYNGENTA
Cekwat 750,BIOPROTECTION,NUFARM
Cekwat 750,BIOPROTECTION,nan
Celest Extra 50 FS,BIOPROTECTION,SYNGENTA
CelestTop 312.5,BIOPROTECTION,SYNGENTA
Ceratrap (en,BIOPROTECTION,BIOEBERICA S.A
Ceratrap (en,BIOPROTECTION,nan
Ceratrap (en bouteilles ou/et en pièges jaunes),BIOPROTECTION,BIO EBERICA S.A
Chardol 720 SL,BIOPROTECTION,NUFARM
Chorus Double,BIOPROTECTION,SYNGENTA
Cruiser 350 FS,BIOPROTECTION,SYNGENTA
D e l t a c a l,BIOPROTECTION,UPL/ARYSTA
DACUS TRAP SL,BIOPROTECTION,BIOIBERICA S.A.U/ESPAGNE
DELAN 500 SC,BIOPROTECTION,BASF
Deltacal,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Dialen Super,BIOPROTECTION,SYNGENTA
Dormex,BIOPROTECTION,DEGUSSA AG/ ARYSTA LifeScience
Dormex,BIOPROTECTION,DEGUSSA AG/
Dormex,BIOPROTECTION,nan
Eperon Mix Pepite,BIOPROTECTION,SYNGENTA
Escort 20 SL,BIOPROTECTION,UPL/(NIPPON
Escort 20 SL,BIOPROTECTION,UPL/(NIPPON SODA)ARYSTA LIFESCIENCE
Evisect,BIOPROTECTION,NIPPON KAYAKU/ ARYSTA/JAPON/Espagne
F u m i c a l,BIOPROTECTION,ARYSTA LIFESCIENCE
F u m i c a l,BIOPROTECTION,UPL/ARYSTA
F u m ical,BIOPROTECTION,UPL/ARYSTA
Fitogib,BIOPROTECTION,NUFARM
Fumical,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
GIB GRO,BIOPROTECTION,NUFARM
Heliocuivre,BIOPROTECTION,Action Pin
Heliocuivre,BIOPROTECTION,Action Pin/AAKO
Heliosoufre S,BIOPROTECTION,Action Pin
Heliosoufre S,BIOPROTECTION,Action Pin/AAKO
Hydro Flo,BIOPROTECTION,NUFARM
INSPIRE PLUS EW,BIOPROTECTION,SYNGENTA
Ipromise,BIOPROTECTION,Arysta Lifescience
Ipromise,BIOPROTECTION,ArystaLifescience
Kalach 360,BIOPROTECTION,UPL/ARYSTA
Kalach 360,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Kalach Extra,BIOPROTECTION,ARYSTA LIFESCIENCE
Kalach Extra,BIOPROTECTION,ARYSTA
Karal,BIOPROTECTION,NUFARM
Kempo EG,BIOPROTECTION,NUFARM
Kempo EG,BIOPROTECTION,nan
Killmite,BIOPROTECTION,ARYSTA LIFESCIENCE
Kilter,BIOPROTECTION,NUFARM
Lufox 105 EC,BIOPROTECTION,SYNGENTA
M a x i m 100 FS,BIOPROTECTION,SYNGENTA
M axim 100 FS,BIOPROTECTION,SYNGENTA
M e t h y l - T,BIOPROTECTION,UPL/ARYSTA
MAXIMUS SC,BIOPROTECTION,AAKO
MINECTO PRO SC,BIOPROTECTION,SYNGENTA
MORPHEE 71.3 WG,BIOPROTECTION,AAKO
Maestro 75 WG,BIOPROTECTION,AAKO
Malvin80 WG,BIOPROTECTION,ARYSTA LIFESCIENCE
Malvin80 WG,BIOPROTECTION,UPL/ARYSTA
Malvin80 WG,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Matric,BIOPROTECTION,ARYSTA LIFESCIENCE
Matric,BIOPROTECTION,UPL/ARYSTA
Matric,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Maxim 100 FS,BIOPROTECTION,SYNGENTA
Minarix,BIOPROTECTION,SYNGENTA
Miravis duo Sc,BIOPROTECTION,ARYSTA
Miravis duo Sc,BIOPROTECTION,ARYSTA LIFESCIENCES
Miravis duo Sc,BIOPROTECTION,SYNGENTA
Mistral,BIOPROTECTION,ZOLFINDUSTRIA
Mistral,BIOPROTECTION,ESSECO sarl/AAKO
Moltovin,BIOPROTECTION,NUFARM
Nando,BIOPROTECTION,NUFARM
Navigator,BIOPROTECTION,SYNGENTA
OLEORA EC,BIOPROTECTION,UPL
ORKESTRA SC,BIOPROTECTION,BASF
OVIPRON TOP,BIOPROTECTION,UPL
Optix R WG,BIOPROTECTION,UPL
P e g a s u s 500 SC,BIOPROTECTION,SYNGENTA
P y r i c a l 4 8 0 EC,BIOPROTECTION,ARYSTA LIFESCIENCE
PLESIVA ALPHA SC,BIOPROTECTION,SYNGENTA
PROSPIRO,BIOPROTECTION,AAKO
Pegasus 500 SC,BIOPROTECTION,SYNGENTA
Plenum 50 WG,BIOPROTECTION,SYNGENTA
Priori Opti,BIOPROTECTION,SYNGENTA
Proclaim 05 SG,BIOPROTECTION,SYNGENTA
Pyrical 480 EC,BIOPROTECTION,UPL/(NIPPON
Pyrical 480 EC,BIOPROTECTION,UPL/(NIPPON SODA)ARYSTA LIFESCIENCE
QUILT XCEL,BIOPROTECTION,SYNGENTA
R e g l o n e 2 0 0 S L,BIOPROTECTION,SYNGENTA
R i d o m i l G o l d M Z 68 WG,BIOPROTECTION,SYNGENTA
RAYGARD,BIOPROTECTION,AAKO
RELIANCE SC,BIOPROTECTION,UPL
REVUS C,BIOPROTECTION,SYNGENTA
REVYTREX EC,BIOPROTECTION,BASF
REYSANA SC,BIOPROTECTION,Syngenta/ Marrone Bio Innovation/ ELEPHANT VERT EUROPE SA
REYSANA SC,BIOPROTECTION,Syngenta/ Marrone Bio
Ridomil Gold,BIOPROTECTION,SYNGENTA
Ridomil Gold C ombi WG,BIOPROTECTION,SYNGENTA
Ridomil Gold Combi,BIOPROTECTION,SYNGENTA
Ridomil Gold MZ 68,BIOPROTECTION,SYNGENTA
S pectro 30 FS,BIOPROTECTION,SYNGENTA
SC,BIOPROTECTION,UPL
SCHOLAR 230 SC,BIOPROTECTION,SYNGENTA
SPIROMAX OD,BIOPROTECTION,ALBAUGH
SPIROX D EC,BIOPROTECTION,arysta lifescience
SPIROX D EC,BIOPROTECTION,arystalifescience/UPL
START-UP,BIOPROTECTION,AAKO
Score 250 EC,BIOPROTECTION,SYNGENTA
Select Super,BIOPROTECTION,ARYSTA LIFESCIENCE
Spectro 30 FS,BIOPROTECTION,SYNGENTA
Spectro Extreme 115 FS,BIOPROTECTION,SYNGENTA
SpectroExtreme 115,BIOPROTECTION,SYNGENTA
SpectroExtreme 115 FS,BIOPROTECTION,SYNGENTA
Super Bordeaux,BIOPROTECTION,NUFARM
Synara 25 WG,BIOPROTECTION,SYNGENTA
T i l t 2 50,BIOPROTECTION,SYNGENTA
T ilt 250,BIOPROTECTION,SYNGENTA
T o p i k 8 0,BIOPROTECTION,SYNGENTA
T r i g a r d,BIOPROTECTION,SYNGENTA
TERVIGO 020 SC,BIOPROTECTION,Syngenta Crop Protection AG
TERVIGO 020 SC,BIOPROTECTION,Syngenta Crop Protection
TERVIGO 020 SC,BIOPROTECTION,Syngenta Crop
TOPIK,BIOPROTECTION,SYNGENTA
TWIGA,BIOPROTECTION,AAKO BV
Thiopron SC,BIOPROTECTION,UPL
Top 312.5,BIOPROTECTION,SYNGENTA
Topik 100,BIOPROTECTION,SYNGENTA
Traxos 45 EC,BIOPROTECTION,SYNGENTA
Traxos pratic,BIOPROTECTION,Syngenta
Traxospratic,BIOPROTECTION,Syngenta
UMBRA 590 SC,BIOPROTECTION,SYNGENTA
UNIFORM 446,BIOPROTECTION,SYNGENTA
V e r t i m e c,BIOPROTECTION,SYNGENTA
VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA
VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA AGRO
VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA AGRO AG
VIBRANCE MAXX,BIOPROTECTION,SYNGENTA
VIBRANCE MAXX FS,BIOPROTECTION,SYNGENTA
Vibrance Gold,BIOPROTECTION,SYNGENTA
Voliam Targo 063 SC,BIOPROTECTION,SYNGENTA
VoliamTargo 063,BIOPROTECTION,SYNGENTA
VoliamTargo 063 SC,BIOPROTECTION,SYNGENTA
Weedazol,BIOPROTECTION,NUFARM
Weedone,BIOPROTECTION,NUFARM
Weedone Plus,BIOPROTECTION,NUFARM
Weevil magnet(keromone),BIOPROTECTION,Chemtica international
Winner,BIOPROTECTION,NUFARM SAS
XANADU,BIOPROTECTION,UPL limited
Z o o m,BIOPROTECTION,SYNGENTA/IPT-PERGANDE GmbH(Allemagne)(fabriquant)
Z o o m,BIOPROTECTION,SYNGENTA/IPT-
Ziracal,BIOPROTECTION,TAMINCO NV(Espagne)/ Arysta(Espagne)
b 40 SG,BIOPROTECTION,VALENTBioscience
nan,BIOPROTECTION,AAKO
nan,BIOPROTECTION,Chemitica international
nan,BIOPROTECTION,SYNGENTA
nan,BIOPROTECTION,Chemtica international
progibb 40 SG,BIOPROTECTION,VALENTBioscience / SUMITOMO
proxanil 450 SC,BIOPROTECTION,arysta lifescience
proxanil 450 SC,BIOPROTECTION,arystalifescience
"switch 62,5 WG",BIOPROTECTION,SYNGENTA
Boxer Fidox 800 EC Roxy,BIOPROTECTION AMINCO AGROSYSTEMES,SYNGENTA GLOBACHEM GLOBACHEM
Dipel PM Ecotech-Bio Bactospeine 16000,BIOPROTECTION EL MOUSSEM AG SEPCM,VALENT BIOSCIENCE CORPORATION YPSILON S.A VALENT BIOSCIENCE CORPORATION
D i p e l P . M Ecotech-BIO,BIOPROTECTION EL MOUSSEM AGRICOLE,VALENT BIOSCIENCE CORPORATION YPSILON S.A
Vertimec Potenza 1.8 Transact 18 EC Aakomectine,BIOPROTECTION SANABEL AGRO TASMID STEC,SYNGENTA SINON CORPORATION ASTRACHEM AAKO BV
ProGibb 40 SG Berelex 40 SG,BIOPROTECTION SEPCM,VALENTBioscience / SUMITOMO CHEMICAL Agro Europe
M e t hyl-T,BIOPROTECTION STEC EL KHADRHA EL MOUSSEM AGRICOLE,"ARYSTA LIFESCIENCE CEQUISA / PHOSPHONIA/UPL, SIPCAM INAGRA Nufarm"
B i o m a t Perfecthion Daphene fort Phytoate,BIOPROTECTION STIMA SEPCM STEC,ARYSTA LIFESCIENCE BASF CHEMINOVA /FMC CHEMINOVA
Swipe,BIOPROTECTON,Syngenta
B l a n c a,C O T U G R A I N,S h a r d a W o r l d W i d e
B l a n c a,C O T U G R A I N IMPEX,S h a r d a W o rld Wide
B l a n c a,C O T U G R A I N IMPEX,S h a r d a W o r l d Wide
B l a n c a,C O T U G R A I N IMPEX,S H A R D A CROPCHEM LIMITED INDE
ALIKA 247 ZC,COTUGRAIN,SYNGENTA
APRON STAR WS,COTUGRAIN,SYNGENTA
ARIS GOLD,COTUGRAIN,SYNGENTA
Acrobat MZ WG,COTUGRAIN,BASF
Affinex,COTUGRAIN,FMC
Aramo 50 EC,COTUGRAIN,BASF
B o n b a rd,COTUGRAIN,BASF
BESIEGE 150 ZC,COTUGRAIN,SYNGENTA
BONSOL,COTUGRAIN,SHARDA
BUTISAN AVANT,COTUGRAIN,BASF
BUTISAN AVANT SE,COTUGRAIN,BASF
CANVION310 DC,COTUGRAIN,Syngenta Crop Protection
CIGNA 50 EC,COTUGRAIN,SYNGENTA
COBRE NORDOX,COTUGRAIN,NORDOX INDUSTRIER A/S
COBRE NORDOX,COTUGRAIN,NORDOX
COBRE NORDOX,COTUGRAIN,NORDOX INDUSTRIER A(fabricant)/S;Commercial quimecamasso(four)
COBRE NORDOX,COTUGRAIN,NORDOX INDUSTRIER A(fabricant)/S;COMMerci alquimecamasso(four)
Cynam EC,COTUGRAIN,LIDA
D IAMEX SL,COTUGRAIN,UPL
DIAMEX SL,COTUGRAIN,UPL
EPIC TOP SE,COTUGRAIN,BASF
Favia Max,COTUGRAIN,BASF
HELIX,COTUGRAIN,SHARDA
L U M I E R E E C,COTUGRAIN,TotalEnergies Fluides A travers KOPPERT
LEPINOX PLUS WP,COTUGRAIN,CBC (EUROPE)
LEPINOX PLUS WP,COTUGRAIN,CBC (EUROPE)/BIOG ARD
LIMASTOP,COTUGRAIN,SHARDA
MACCANI,COTUGRAIN,BASF
MELCAR TOP 140,COTUGRAIN,SYNGENTA
Midash 350 SC,COTUGRAIN,SHARDA
Naturalis,COTUGRAIN,CBC europe/italie
Naturalis SC,COTUGRAIN,CBC europe
Nopasaran,COTUGRAIN,BASF
P ULSEI EC,COTUGRAIN,SPEISA SA ESPAGNE
PRIAXOR SE,COTUGRAIN,BASF
ROXANE EC,COTUGRAIN,sharda crochem
ROXANE EC,COTUGRAIN,shardacrochem
ROXANE EC,COTUGRAIN,SHARDA CROPCHEM LIMITED INDE
RovralAquaflo,COTUGRAIN,FMC
SHIN –ETSU MD,COTUGRAIN,Shin ETSU chemical/ CBC (EUROPE)/BIOG ARD
SHIN –ETSU MD T,COTUGRAIN,Shin ETSU chemical/
SHIN –ETSU MD T,COTUGRAIN,Shin ETSU chemical/ CBC (EUROPE)
SOLVIGO 185 SC,COTUGRAIN,SYNGENTA
Signum WG,COTUGRAIN,BASF
T H I O 5 0 SC,COTUGRAIN,sharda cropchem
TARZEK + UPTAKE SL (Ecosurf EH-9 Surfactant 73 %(p/p)),COTUGRAIN,Dow Agrosciences
THIOMAX JET,COTUGRAIN,SYNGENTA
Taegro,COTUGRAIN,Novozymesbiologicals
Taegro,COTUGRAIN,Novozymesbiologicalsinc/ syngenta
VERYDOR,COTUGRAIN,BASF
VOLTRA 0.5 G,COTUGRAIN,SYNGENTA
lovit SC,COTUGRAIN,BASF
nan,COTUGRAIN,SYNGENTA
ALIKA 247 ZC,COTUGRAIN IMPEX,SYNGENTA
ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA
Acrobat MZ WG,COTUGRAIN IMPEX,BASF
Affinex,COTUGRAIN IMPEX,FMC
